step,inputs/demo_proportion,inputs/low_dim_state_mean,inputs/low_dim_state_min,inputs/low_dim_state_max,inputs/timeouts,QAttentionAgent_layer0/losses/total_loss,QAttentionAgent_layer0/losses/trans_loss,QAttentionAgent_layer0/losses/rot_grip_col_loss,replay0/add_count,replay0/size,replay/replay_ratio,replay/update_to_insert_ratio,monitoring/sample_time_per_item,monitoring/train_time_per_item,monitoring/memory_gb,monitoring/cpu_percent
1100,1.0,0.34177112579345703,0.0,1.0,0.0,15.50883674621582,10.786653518676758,4.722183704376221,273611,273611,17600000000.0,1100000000.0,0.012231394648551941,0.11879292130470276,14.981337088,45.855000000000004
1200,1.0,0.2699388265609741,-0.3333333432674408,1.0,0.0,14.079751968383789,9.402563095092773,4.677189350128174,273611,273611,19200000000.0,1200000000.0,0.012623980641365051,0.12047126889228821,15.410098176000002,45.8
1300,1.0,0.31072118878364563,0.0,1.0,0.0,13.063233375549316,8.536267280578613,4.526966571807861,273611,273611,20800000000.0,1300000000.0,0.012003406882286072,0.11826787889003754,15.899357184000001,45.805
1400,1.0,0.31400567293167114,0.0,1.0,0.0,13.167152404785156,8.83222484588623,4.334928512573242,273611,273611,22400000000.0,1400000000.0,0.012438863515853882,0.11802536249160767,16.33120256,45.7575
1500,1.0,0.31775081157684326,0.0,1.0,0.0,13.69261360168457,8.847768783569336,4.844844341278076,273611,273611,24000000000.0,1500000000.0,0.01712493598461151,0.11172862350940704,16.837541888,45.416250000000005
1600,1.0,0.304115891456604,0.0,1.0,0.0,13.072900772094727,9.337102890014648,3.735797882080078,273611,273611,25600000000.0,1600000000.0,0.012189939618110657,0.1114058643579483,17.269735424,45.6325
1700,1.0,0.23460987210273743,0.0,1.0,0.0,10.53751277923584,6.739389419555664,3.7981231212615967,273611,273611,27200000000.0,1700000000.0,0.012130841612815857,0.11208318173885345,17.704566784,46.839999999999996
1800,1.0,0.27691182494163513,0.0,1.0,0.0,12.22245979309082,8.074783325195312,4.14767599105835,273611,273611,28800000000.0,1800000000.0,0.011521592736244202,0.11107528209686279,18.205933568000003,39.644999999999996
1900,1.0,0.3088066279888153,-0.4166666567325592,1.0,0.0,11.077016830444336,7.103789329528809,3.9732275009155273,273611,273611,30400000000.0,1900000000.0,0.013195157051086426,0.11328931152820587,18.617384960000003,45.5125
2000,1.0,0.29177650809288025,0.0,1.0,0.0,12.466842651367188,8.171338081359863,4.295505046844482,273611,273611,32000000000.0,2000000000.0,0.011898905038833618,0.11188000440597534,19.111985152000003,45.5575
2100,1.0,0.325980007648468,0.0,1.0,0.0,11.162674903869629,7.133030414581299,4.029644012451172,273611,273611,33600000000.0,2100000000.0,0.011448025703430176,0.1123373806476593,19.526852608000002,45.5
2200,1.0,0.3168112337589264,0.0,1.0,0.0,11.057374954223633,6.6730475425720215,4.3843278884887695,273611,273611,35200000000.0,2200000000.0,0.012697488069534302,0.11348602175712585,20.019019776,44.67
2300,1.0,0.3150244355201721,0.0,1.0,0.0,9.565704345703125,6.484619617462158,3.081084728240967,273611,273611,36800000000.0,2300000000.0,0.013005748391151428,0.11244873702526093,20.446302208000002,37.15625
2400,1.0,0.2855302691459656,0.0,1.0,0.0,11.300827026367188,7.362026214599609,3.938800811767578,273611,273611,38400000000.0,2400000000.0,0.011343657970428467,0.11162000894546509,20.928077824000002,44.8375
2500,1.0,0.3660314679145813,0.0,1.0,0.0,9.053361892700195,5.488339424133301,3.5650224685668945,273611,273611,40000000000.0,2500000000.0,0.012170210480690002,0.1121261864900589,21.390766080000002,44.90375
2600,1.0,0.2838950753211975,0.0,1.0,0.0,9.206462860107422,6.059085845947266,3.1473772525787354,273611,273611,41600000000.0,2600000000.0,0.011699989438056946,0.11208659410476685,21.823918080000002,45.56375
2700,1.0,0.26390203833580017,-0.1666666716337204,1.0,0.0,10.99481201171875,7.211714744567871,3.783097743988037,273611,273611,43200000000.0,2700000000.0,0.012237906455993652,0.11194588243961334,22.332735488,44.70625
2800,1.0,0.32496196031570435,0.0,1.0,0.0,10.122096061706543,6.910985946655273,3.2111096382141113,273611,273611,44800000000.0,2800000000.0,0.013313770294189453,0.11241690814495087,22.774247424000002,43.43875
